Title,Year,Link,Author,The_Six_Canons,Digitalization,Interpretation,Creation,Exhibition,Task,Feature_Extraction,Rendering,picture
Immersive Spring Morning in the Han Palace: Learning Traditional Chinese Art Via Virtual Reality and Multi-Touch Tabletop,2022,https://www.tandfonline.com/doi/full/10.1080/10447318.2021.1930389?casa_token=z3niOpLHO4gAAAAA%3AM0spB-gA6N-n6v9TMyKVi2PMwDkfmdDGMeGmKMeD8apzUCVeI7ALEIIDXK9832ftlvdsUXcTnBE0,"Jin, Sheng and Fan, Min and Kadir, Aynur",Spirit Resonance,None,None,None,"XR,Interactive",Virtual Reality,None,None,1.png
End-to-end chinese landscape painting creation using generative adversarial networks ,2021,https://openaccess.thecvf.com/content/WACV2021/html/Xue_End-to-End_Chinese_Landscape_Painting_Creation_Using_Generative_Adversarial_Networks_WACV_2021_paper.html,"Xue, Alice",Correspondence to the Object,None,None,Image Generation,None,Image Generation,Learned Features,Image-Based,2.png
Instance-Aware Coherent Video Style Transfer for Chinese Ink Wash Painting ,2021,https://web.archive.org/web/20210812233451id_/https://www.ijcai.org/proceedings/2021/0114.pdf,"Liang, Hao and Yang, Shuai and Wang, Wenjing and Liu, Jiaying",Spirit Resonance,None,None,Video Generation,None,Video Generation,Learned Features,Image-Based,3.png
Automatic Poetry Generation Based on Ancient Chinese Paintings,2021,https://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&dbname=CJFDLAST2021&filename=JSJF202107006&uniplatform=NZKPT&v=lxQISDQB0uFngTFZB69g_kgKQZ7InRzhsnvjBUXtm3_8XXu7rUJfK-6y3F-pxhfV,"Chen, Jiazhou and Huang, Keshu and Feng, Yingchaojie and Zhang, Wei and Tan, Siwei and Chen, Wei",Correspondence to the Object,None,Feature Extraction,None,None,Others,None,None,4.png
"iPoet: Interactive Painting Poetry Creation with
Visual Multimodal Analysis",2021,https://link.springer.com/article/10.1007/s12650-021-00780-0,"Feng, Yingchaojie and Chen, Jiazhou and Huang, Keyu and Wong, Jason K and Ye, Hui and Zhang, Wei and Zhu, Rongchen and Luo, Xiaonan and Chen, Wei",Correspondence to the Object,None,Feature Extraction,None,None,Others,Learned Features,None,5.png
Immersive Traditional Chinese Portrait Painting: Research on Style Transfer and Face Replacement,2021,http://dx.doi.org/10.1007%2F978-3-030-88007-1_16,"Li, Jiayue and Wang, Qing and Li, Shiji and Zhong, Qiang and Zhou, Qian",Correspondence to the Object,None,None,Image Generation,None,Image Generation,Learned Features,Image-Based,6.png
MTFFNet: a Multi-task Feature Fusion Framework for Chinese Painting Classification,2021,https://link.springer.com/article/10.1007/s12559-021-09896-9,"Jiang, Wei and Wang, Xiaoyu and Ren, Jinchang and Li, Sen and Sun, Meijun and Wang, Zheng and Jin, Jesse S",Bone Method,None,Classification,None,None,Image Classification,Learned Features,None,7.png
Animating characters in Chinese painting using two-dimensional skeleton-based deformation,2020,https://link.springer.com/article/10.1007/s11042-020-08842-5,"Liu, Damon Shing-Min and Cheng, Ching-I and Liu, Mei-Lin",Spirit Resonance,None,None,Video Generation,None,Video Generation,Handcrafted Features,Geometric-Based,8.png
Attentional Wavelet Network for Traditional Chinese Painting Transfer,2020,https://ieeexplore.ieee.org/abstract/document/9413063,"Wang, Rui and Huang, Huaibo and Zheng, Aihua and He, Ran",Correspondence to the Object,None,None,Image Generation,None,Image Generation,Learned Features,Image-Based,9.png
Feature Fusion based Cross-modal Retrieval for Traditional Chinese Painting,2020,https://ieeexplore.ieee.org/abstract/document/9262798/,"Dong, Zhenhao and Wan, Jing and Li, Chaoyue and Jiang, Han and Qian, Yingge and Pan, Wenxie",Correspondence to the Object,None,Classification,None,None,Others,Learned Features,None,10.png
